duration,input.all_possible_pgsm_times,input.doc_id,input.lowercase_sentence,input.sentence,input.sentence_id,input.time_expressions,job,output.selectedtags_desc,output.selectedtags_desc.annotations,output.selectedtags_desc.unique_annotations,worker,uqs,unit_annotation_score,uqs_initial,unit_annotation_score_initial,validated_time,no_of_annotations,validated_time_final_score,validated_time_initial_score,Experts
25.0,1984__19__23###last June__75__84###1953__40__44###June__80__84,bbc_20130322_1150,"the last british climbing member of the 1953 team , mike westmacott , died last june .","The last British climbing member of the 1953 team , Mike Westmacott , died last June .",19,1,../../data/pilot_crowd_data/raw_data/f1329880_allpossibletimes_motivation,"Counter({'last june__75__84': 19, '1953__40__44': 15, 'june__80__84': 12, '1984__19__23': 6})",52,4,20,0.7340819438669238,"Counter({'last june__75__84': 0.948773727004102, '1953__40__44': 0.7758291586453783, 'june__80__84': 0.6154282023332286, '1984__19__23': 0.30183757021463764})",0.7262205728222372,"Counter({'last june__75__84': 0.95, '1953__40__44': 0.75, 'june__80__84': 0.6, '1984__19__23': 0.3})",1953__40__44,15,0.7758291586453783,0.75,0.0
25.0,1984__19__23###last June__75__84###1953__40__44###June__80__84,bbc_20130322_1150,"the last british climbing member of the 1953 team , mike westmacott , died last june .","The last British climbing member of the 1953 team , Mike Westmacott , died last June .",19,1,../../data/pilot_crowd_data/raw_data/f1329880_allpossibletimes_motivation,"Counter({'last june__75__84': 19, '1953__40__44': 15, 'june__80__84': 12, '1984__19__23': 6})",52,4,20,0.7340819438669238,"Counter({'last june__75__84': 0.948773727004102, '1953__40__44': 0.7758291586453783, 'june__80__84': 0.6154282023332286, '1984__19__23': 0.30183757021463764})",0.7262205728222372,"Counter({'last june__75__84': 0.95, '1953__40__44': 0.75, 'june__80__84': 0.6, '1984__19__23': 0.3})",june__80__84,12,0.6154282023332286,0.6,0.0
25.0,1984__19__23###last June__75__84###1953__40__44###June__80__84,bbc_20130322_1150,"the last british climbing member of the 1953 team , mike westmacott , died last june .","The last British climbing member of the 1953 team , Mike Westmacott , died last June .",19,1,../../data/pilot_crowd_data/raw_data/f1329880_allpossibletimes_motivation,"Counter({'last june__75__84': 19, '1953__40__44': 15, 'june__80__84': 12, '1984__19__23': 6})",52,4,20,0.7340819438669238,"Counter({'last june__75__84': 0.948773727004102, '1953__40__44': 0.7758291586453783, 'june__80__84': 0.6154282023332286, '1984__19__23': 0.30183757021463764})",0.7262205728222372,"Counter({'last june__75__84': 0.95, '1953__40__44': 0.75, 'june__80__84': 0.6, '1984__19__23': 0.3})",no_time,0,0.0,0.0,0.0
26.25,1995__23__27###100 days__106__114###the 99th day__138__150###day__147__150###99th day__142__150###100__106__109###days__110__114,bbc_20130322_1150,"speaking to the bbc in 1995 , mr lowe said of his antarctic adventure : `` we estimated we could do it in 100 days , and we got across on the 99th day .","Speaking to the BBC in 1995 , Mr Lowe said of his Antarctic adventure : `` We estimated we could do it in 100 days , and we got across on the 99th day .",6,3,../../data/pilot_crowd_data/raw_data/f1329880_allpossibletimes_motivation,"Counter({'the 99th day__138__150': 15, '100 days__106__114': 14, '1995__23__27': 13, '99th day__142__150': 12, 'day__147__150': 12, 'days__110__114': 8, '100__106__109': 7})",81,7,20,0.5850817073934039,"Counter({'the 99th day__138__150': 0.7550278109625789, '100 days__106__114': 0.7361608365725683, '1995__23__27': 0.6902804732447521, '99th day__142__150': 0.6376024536043088, 'day__147__150': 0.6266637924947572, 'days__110__114': 0.43743830311803195, '100__106__109': 0.3711547342192781})",0.5604628050747359,"Counter({'the 99th day__138__150': 0.75, '100 days__106__114': 0.7, '1995__23__27': 0.65, '99th day__142__150': 0.6, 'day__147__150': 0.6, 'days__110__114': 0.4, '100__106__109': 0.35})",1995__23__27,13,0.6902804732447521,0.65,1.0
26.25,1995__23__27###100 days__106__114###the 99th day__138__150###day__147__150###99th day__142__150###100__106__109###days__110__114,bbc_20130322_1150,"speaking to the bbc in 1995 , mr lowe said of his antarctic adventure : `` we estimated we could do it in 100 days , and we got across on the 99th day .","Speaking to the BBC in 1995 , Mr Lowe said of his Antarctic adventure : `` We estimated we could do it in 100 days , and we got across on the 99th day .",6,3,../../data/pilot_crowd_data/raw_data/f1329880_allpossibletimes_motivation,"Counter({'the 99th day__138__150': 15, '100 days__106__114': 14, '1995__23__27': 13, '99th day__142__150': 12, 'day__147__150': 12, 'days__110__114': 8, '100__106__109': 7})",81,7,20,0.5850817073934039,"Counter({'the 99th day__138__150': 0.7550278109625789, '100 days__106__114': 0.7361608365725683, '1995__23__27': 0.6902804732447521, '99th day__142__150': 0.6376024536043088, 'day__147__150': 0.6266637924947572, 'days__110__114': 0.43743830311803195, '100__106__109': 0.3711547342192781})",0.5604628050747359,"Counter({'the 99th day__138__150': 0.75, '100 days__106__114': 0.7, '1995__23__27': 0.65, '99th day__142__150': 0.6, 'day__147__150': 0.6, 'days__110__114': 0.4, '100__106__109': 0.35})",100 days__106__114,14,0.7361608365725683,0.7,1.0
26.25,1995__23__27###100 days__106__114###the 99th day__138__150###day__147__150###99th day__142__150###100__106__109###days__110__114,bbc_20130322_1150,"speaking to the bbc in 1995 , mr lowe said of his antarctic adventure : `` we estimated we could do it in 100 days , and we got across on the 99th day .","Speaking to the BBC in 1995 , Mr Lowe said of his Antarctic adventure : `` We estimated we could do it in 100 days , and we got across on the 99th day .",6,3,../../data/pilot_crowd_data/raw_data/f1329880_allpossibletimes_motivation,"Counter({'the 99th day__138__150': 15, '100 days__106__114': 14, '1995__23__27': 13, '99th day__142__150': 12, 'day__147__150': 12, 'days__110__114': 8, '100__106__109': 7})",81,7,20,0.5850817073934039,"Counter({'the 99th day__138__150': 0.7550278109625789, '100 days__106__114': 0.7361608365725683, '1995__23__27': 0.6902804732447521, '99th day__142__150': 0.6376024536043088, 'day__147__150': 0.6266637924947572, 'days__110__114': 0.43743830311803195, '100__106__109': 0.3711547342192781})",0.5604628050747359,"Counter({'the 99th day__138__150': 0.75, '100 days__106__114': 0.7, '1995__23__27': 0.65, '99th day__142__150': 0.6, 'day__147__150': 0.6, 'days__110__114': 0.4, '100__106__109': 0.35})",the 99th day__138__150,15,0.7550278109625789,0.75,1.0
26.25,1995__23__27###100 days__106__114###the 99th day__138__150###day__147__150###99th day__142__150###100__106__109###days__110__114,bbc_20130322_1150,"speaking to the bbc in 1995 , mr lowe said of his antarctic adventure : `` we estimated we could do it in 100 days , and we got across on the 99th day .","Speaking to the BBC in 1995 , Mr Lowe said of his Antarctic adventure : `` We estimated we could do it in 100 days , and we got across on the 99th day .",6,3,../../data/pilot_crowd_data/raw_data/f1329880_allpossibletimes_motivation,"Counter({'the 99th day__138__150': 15, '100 days__106__114': 14, '1995__23__27': 13, '99th day__142__150': 12, 'day__147__150': 12, 'days__110__114': 8, '100__106__109': 7})",81,7,20,0.5850817073934039,"Counter({'the 99th day__138__150': 0.7550278109625789, '100 days__106__114': 0.7361608365725683, '1995__23__27': 0.6902804732447521, '99th day__142__150': 0.6376024536043088, 'day__147__150': 0.6266637924947572, 'days__110__114': 0.43743830311803195, '100__106__109': 0.3711547342192781})",0.5604628050747359,"Counter({'the 99th day__138__150': 0.75, '100 days__106__114': 0.7, '1995__23__27': 0.65, '99th day__142__150': 0.6, 'day__147__150': 0.6, 'days__110__114': 0.4, '100__106__109': 0.35})",day__147__150,12,0.6266637924947572,0.6,0.0
26.25,1995__23__27###100 days__106__114###the 99th day__138__150###day__147__150###99th day__142__150###100__106__109###days__110__114,bbc_20130322_1150,"speaking to the bbc in 1995 , mr lowe said of his antarctic adventure : `` we estimated we could do it in 100 days , and we got across on the 99th day .","Speaking to the BBC in 1995 , Mr Lowe said of his Antarctic adventure : `` We estimated we could do it in 100 days , and we got across on the 99th day .",6,3,../../data/pilot_crowd_data/raw_data/f1329880_allpossibletimes_motivation,"Counter({'the 99th day__138__150': 15, '100 days__106__114': 14, '1995__23__27': 13, '99th day__142__150': 12, 'day__147__150': 12, 'days__110__114': 8, '100__106__109': 7})",81,7,20,0.5850817073934039,"Counter({'the 99th day__138__150': 0.7550278109625789, '100 days__106__114': 0.7361608365725683, '1995__23__27': 0.6902804732447521, '99th day__142__150': 0.6376024536043088, 'day__147__150': 0.6266637924947572, 'days__110__114': 0.43743830311803195, '100__106__109': 0.3711547342192781})",0.5604628050747359,"Counter({'the 99th day__138__150': 0.75, '100 days__106__114': 0.7, '1995__23__27': 0.65, '99th day__142__150': 0.6, 'day__147__150': 0.6, 'days__110__114': 0.4, '100__106__109': 0.35})",99th day__142__150,12,0.6376024536043088,0.6,0.0
26.25,1995__23__27###100 days__106__114###the 99th day__138__150###day__147__150###99th day__142__150###100__106__109###days__110__114,bbc_20130322_1150,"speaking to the bbc in 1995 , mr lowe said of his antarctic adventure : `` we estimated we could do it in 100 days , and we got across on the 99th day .","Speaking to the BBC in 1995 , Mr Lowe said of his Antarctic adventure : `` We estimated we could do it in 100 days , and we got across on the 99th day .",6,3,../../data/pilot_crowd_data/raw_data/f1329880_allpossibletimes_motivation,"Counter({'the 99th day__138__150': 15, '100 days__106__114': 14, '1995__23__27': 13, '99th day__142__150': 12, 'day__147__150': 12, 'days__110__114': 8, '100__106__109': 7})",81,7,20,0.5850817073934039,"Counter({'the 99th day__138__150': 0.7550278109625789, '100 days__106__114': 0.7361608365725683, '1995__23__27': 0.6902804732447521, '99th day__142__150': 0.6376024536043088, 'day__147__150': 0.6266637924947572, 'days__110__114': 0.43743830311803195, '100__106__109': 0.3711547342192781})",0.5604628050747359,"Counter({'the 99th day__138__150': 0.75, '100 days__106__114': 0.7, '1995__23__27': 0.65, '99th day__142__150': 0.6, 'day__147__150': 0.6, 'days__110__114': 0.4, '100__106__109': 0.35})",100__106__109,7,0.3711547342192781,0.35,0.0
26.25,1995__23__27###100 days__106__114###the 99th day__138__150###day__147__150###99th day__142__150###100__106__109###days__110__114,bbc_20130322_1150,"speaking to the bbc in 1995 , mr lowe said of his antarctic adventure : `` we estimated we could do it in 100 days , and we got across on the 99th day .","Speaking to the BBC in 1995 , Mr Lowe said of his Antarctic adventure : `` We estimated we could do it in 100 days , and we got across on the 99th day .",6,3,../../data/pilot_crowd_data/raw_data/f1329880_allpossibletimes_motivation,"Counter({'the 99th day__138__150': 15, '100 days__106__114': 14, '1995__23__27': 13, '99th day__142__150': 12, 'day__147__150': 12, 'days__110__114': 8, '100__106__109': 7})",81,7,20,0.5850817073934039,"Counter({'the 99th day__138__150': 0.7550278109625789, '100 days__106__114': 0.7361608365725683, '1995__23__27': 0.6902804732447521, '99th day__142__150': 0.6376024536043088, 'day__147__150': 0.6266637924947572, 'days__110__114': 0.43743830311803195, '100__106__109': 0.3711547342192781})",0.5604628050747359,"Counter({'the 99th day__138__150': 0.75, '100 days__106__114': 0.7, '1995__23__27': 0.65, '99th day__142__150': 0.6, 'day__147__150': 0.6, 'days__110__114': 0.4, '100__106__109': 0.35})",days__110__114,8,0.437438303118032,0.4,0.0
26.25,1995__23__27###100 days__106__114###the 99th day__138__150###day__147__150###99th day__142__150###100__106__109###days__110__114,bbc_20130322_1150,"speaking to the bbc in 1995 , mr lowe said of his antarctic adventure : `` we estimated we could do it in 100 days , and we got across on the 99th day .","Speaking to the BBC in 1995 , Mr Lowe said of his Antarctic adventure : `` We estimated we could do it in 100 days , and we got across on the 99th day .",6,3,../../data/pilot_crowd_data/raw_data/f1329880_allpossibletimes_motivation,"Counter({'the 99th day__138__150': 15, '100 days__106__114': 14, '1995__23__27': 13, '99th day__142__150': 12, 'day__147__150': 12, 'days__110__114': 8, '100__106__109': 7})",81,7,20,0.5850817073934039,"Counter({'the 99th day__138__150': 0.7550278109625789, '100 days__106__114': 0.7361608365725683, '1995__23__27': 0.6902804732447521, '99th day__142__150': 0.6376024536043088, 'day__147__150': 0.6266637924947572, 'days__110__114': 0.43743830311803195, '100__106__109': 0.3711547342192781})",0.5604628050747359,"Counter({'the 99th day__138__150': 0.75, '100 days__106__114': 0.7, '1995__23__27': 0.65, '99th day__142__150': 0.6, 'day__147__150': 0.6, 'days__110__114': 0.4, '100__106__109': 0.35})",no_time,0,0.0,0.0,0.0
19.45,2003__25__29,bbc_20130322_332,it invested in tnk-bp in 2003 .,It invested in TNK-BP in 2003 .,3,1,../../data/pilot_crowd_data/raw_data/f1329880_allpossibletimes_motivation,Counter({'2003__25__29': 20}),20,1,20,1.0,Counter({'2003__25__29': 1.0}),1.0,Counter({'2003__25__29': 1.0}),2003__25__29,20,1.0,1.0,1.0
19.45,2003__25__29,bbc_20130322_332,it invested in tnk-bp in 2003 .,It invested in TNK-BP in 2003 .,3,1,../../data/pilot_crowd_data/raw_data/f1329880_allpossibletimes_motivation,Counter({'2003__25__29': 20}),20,1,20,1.0,Counter({'2003__25__29': 1.0}),1.0,Counter({'2003__25__29': 1.0}),no_time,0,0.0,0.0,0.0
36.75,2003__6__10,bbc_20130322_332,"`` in 2003 bp invested around $ 8bn in cash , shares and assets in the formation of tnk-bp , '' the oil giant said .","`` In 2003 BP invested around $ 8bn in cash , shares and assets in the formation of TNK-BP , '' the oil giant said .",7,1,../../data/pilot_crowd_data/raw_data/f1329880_allpossibletimes_motivation,Counter({'2003__6__10': 20}),20,1,20,1.0,Counter({'2003__6__10': 1.0}),1.0,Counter({'2003__6__10': 1.0}),2003__6__10,20,1.0,1.0,1.0
36.75,2003__6__10,bbc_20130322_332,"`` in 2003 bp invested around $ 8bn in cash , shares and assets in the formation of tnk-bp , '' the oil giant said .","`` In 2003 BP invested around $ 8bn in cash , shares and assets in the formation of TNK-BP , '' the oil giant said .",7,1,../../data/pilot_crowd_data/raw_data/f1329880_allpossibletimes_motivation,Counter({'2003__6__10': 20}),20,1,20,1.0,Counter({'2003__6__10': 1.0}),1.0,Counter({'2003__6__10': 1.0}),no_time,0,0.0,0.0,0.0
19.45,2005__132__136,bbc_20130322_1150,"dr lewis-jones , the former curator at the scott polar research institute at the university of cambridge , who first met mr lowe in 2005 , called him a `` hero '' .","Dr Lewis-Jones , the former curator at the Scott Polar Research Institute at the University of Cambridge , who first met Mr Lowe in 2005 , called him a `` hero '' .",13,1,../../data/pilot_crowd_data/raw_data/f1329880_allpossibletimes_motivation,Counter({'2005__132__136': 20}),20,1,20,1.0,Counter({'2005__132__136': 1.0}),1.0,Counter({'2005__132__136': 1.0}),2005__132__136,20,1.0,1.0,1.0
19.45,2005__132__136,bbc_20130322_1150,"dr lewis-jones , the former curator at the scott polar research institute at the university of cambridge , who first met mr lowe in 2005 , called him a `` hero '' .","Dr Lewis-Jones , the former curator at the Scott Polar Research Institute at the University of Cambridge , who first met Mr Lowe in 2005 , called him a `` hero '' .",13,1,../../data/pilot_crowd_data/raw_data/f1329880_allpossibletimes_motivation,Counter({'2005__132__136': 20}),20,1,20,1.0,Counter({'2005__132__136': 1.0}),1.0,Counter({'2005__132__136': 1.0}),no_time,0,0.0,0.0,0.0
31.3,2005__132__136###former__21__27,bbc_20130322_1150,"`` i do n't often use that word but then it is not very often that you get to meet one , '' he said .","`` I do n't often use that word but then it is not very often that you get to meet one , '' he said .",14,0,../../data/pilot_crowd_data/raw_data/f1329880_allpossibletimes_motivation,"Counter({'2005__132__136': 11, 'no_time': 9, 'former__21__27': 3})",23,3,20,0.4390625201431329,"Counter({'2005__132__136': 0.54964595890982, 'no_time': 0.45035404109017974, 'former__21__27': 0.1680179605578989})",0.44195033025514296,"Counter({'2005__132__136': 0.55, 'no_time': 0.45, 'former__21__27': 0.15})",2005__132__136,11,0.54964595890982,0.55,0.0
31.3,2005__132__136###former__21__27,bbc_20130322_1150,"`` i do n't often use that word but then it is not very often that you get to meet one , '' he said .","`` I do n't often use that word but then it is not very often that you get to meet one , '' he said .",14,0,../../data/pilot_crowd_data/raw_data/f1329880_allpossibletimes_motivation,"Counter({'2005__132__136': 11, 'no_time': 9, 'former__21__27': 3})",23,3,20,0.4390625201431329,"Counter({'2005__132__136': 0.54964595890982, 'no_time': 0.45035404109017974, 'former__21__27': 0.1680179605578989})",0.44195033025514296,"Counter({'2005__132__136': 0.55, 'no_time': 0.45, 'former__21__27': 0.15})",former__21__27,3,0.1680179605578989,0.15,0.0
31.3,2005__132__136###former__21__27,bbc_20130322_1150,"`` i do n't often use that word but then it is not very often that you get to meet one , '' he said .","`` I do n't often use that word but then it is not very often that you get to meet one , '' he said .",14,0,../../data/pilot_crowd_data/raw_data/f1329880_allpossibletimes_motivation,"Counter({'2005__132__136': 11, 'no_time': 9, 'former__21__27': 3})",23,3,20,0.4390625201431329,"Counter({'2005__132__136': 0.54964595890982, 'no_time': 0.45035404109017974, 'former__21__27': 0.1680179605578989})",0.44195033025514296,"Counter({'2005__132__136': 0.55, 'no_time': 0.45, 'former__21__27': 0.15})",no_time,9,0.4503540410901797,0.45,0.0
