Doc Id,Sentence Id,Time Expression Id,End Offset,Is Time Expression,Lemma Stanford,Lowercase Lemma Stanford,Lowercase Token,POS Tag Stanford,Pos,Start Offset,Time Expression Id.1,Time Expression Type,Time Expression Value,Token,Token Id Doc,Token Id Sent,Token POS,Lemma POS
ABC19980114.1830.0611,5,t58,23,1,a minute and a half,a minute and a half,a minute and a half,DT NN CC DT NN,DT NN CC DT NN,4,t58,B-DURATION,PT1M30S,a minute and a half,93 94 95 96 97,2 3 4 5 6,a-DT minute-NN and-CC a-DT half-NN,a-DT minute-NN and-CC a-DT half-NN
ABC19980120.1830.0957,9,t94,22,1,nearly forty year,nearly forty year,nearly forty years,RB CD NNS,RB CD NN,4,t94,B-DURATION,P40Y,nearly forty years,134 135 136,2 3 4,nearly-RB forty-CD years-NN,nearly-RB forty-CD year-NN
ABC19980120.1830.0957,21,t1000,40,1,this evening,this evening,this evening,DT NN,DT NN,28,t1000,B-TIME,1998-01-20TEV,this evening,390 391,7 8,this-DT evening-NN,this-DT evening-NN
ABC19980304.1830.1636,0,t32,13,1,today,today,today,NN,NN,8,t32,B-DATE,1998-03-04,today,2,2,today-NN,today-NN
ABC19980304.1830.1636,1,t33,123,1,December,december,december,NNP,NN,115,t33,B-DATE,1998-12,December,37,20,december-NN,december-NN
ABC19980304.1830.1636,5,t34,29,1,twenty year,twenty year,twenty years,CD NNS,CD NN,17,t34,B-DURATION,P20Y,twenty years,81 82,5 6,twenty-CD years-NN,twenty-CD year-NN
ABC19980304.1830.1636,6,t55,59,1,now,now,now,RB,RB,56,t55,B-DATE,PRESENT_REF,now,116,12,now-RB,now-RB
ABC19980304.1830.1636,12,t36,56,1,now,now,now,RB,RB,53,t36,B-DATE,PRESENT_REF,now,204,12,now-RB,now-RB
AP900815-0044,0,t4,80,1,today,today,today,NN,NN,75,t4,B-DATE,1990-08-15,today,16,16,today-NN,today-NN
AP900815-0044,1,t14,10,1,today,today,today,NN,NN,5,t14,B-DATE,1990-08-15,today,39,2,today-NN,today-NN
AP900815-0044,2,t22,25,1,Tuesday,tuesday,tuesday,NNP,NN,18,t22,B-DATE,1990-08-14,Tuesday,59,4,tuesday-NN,tuesday-NN
AP900815-0044,3,t380,57,1,today,today,today,NN,NN,52,t380,B-DATE,1990-08-15,today,96,10,today-NN,today-NN
AP900815-0044,5,t37,20,1,today,today,today,NN,NN,15,t37,B-DATE,1990-08-15,today,134,3,today-NN,today-NN
AP900815-0044,6,t47,125,1,some time,some time,some time,DT NN,DT NN,116,t47,B-DURATION,PXM,some time,188 189,23 24,some-DT time-NN,some-DT time-NN
AP900815-0044,8,t56,90,1,now,now,now,RB,RB,87,t56,B-DATE,PRESENT_REF,now,221,16,now-RB,now-RB
AP900815-0044,9,t65,174,1,Friday,friday,friday,NNP,NN,168,t65,B-DATE,1990-08-10,Friday,273,30,friday-NN,friday-NN
AP900815-0044,11,t79,110,1,August 1988,august 1988,august 1988,NNP CD,NN CD,99,t79,B-DATE,1988-08,August 1988,325 326,17 18,august-NN 1988-CD,august-NN 1988-CD
AP900815-0044,11,t82,139,1,eight-year,eight-year,eight-year,JJ,JJ,129,t82,B-DURATION,P8Y,eight-year,330,22,eight-year-JJ,eight-year-JJ
AP900815-0044,12,t89,118,1,Aug. 2,aug. 2,aug. 2,NNP CD,NN CD,112,t89,B-DATE,1990-08-02,Aug. 2,356 357,22 23,aug.-NN 2-CD,aug.-NN 2-CD
AP900815-0044,15,t719,57,1,up to 180 day,up to 180 day,up to 180 days,RB TO CD NNS,RB TO CD NN,43,t719,B-DURATION,P180D,up to 180 days,443 444 445 446,9 10 11 12,up-RB to-TO 180-CD days-NN,up-RB to-TO 180-CD day-NN
AP900815-0044,16,t114,103,1,Tuesday,tuesday,tuesday,NNP,NN,96,t114,B-DATE,1990-08-14,Tuesday,464,13,tuesday-NN,tuesday-NN
AP900815-0044,17,t120,153,1,today,today,today,NN,NN,148,t120,B-DATE,1990-08-15,today,506,26,today-NN,today-NN
AP900815-0044,22,t140,95,1,today,today,today,NN,NN,90,t140,B-DATE,1990-08-15,today,624,15,today-NN,today-NN
AP900815-0044,25,t151,37,1,today,today,today,NN,NN,32,t151,B-DATE,1990-08-15,today,689,6,today-NN,today-NN
AP900815-0044,28,t162,49,1,Tuesday,tuesday,tuesday,NNP,NN,42,t162,B-DATE,1990-08-14,Tuesday,735,8,tuesday-NN,tuesday-NN
AP900815-0044,29,t170,15,1,now,now,now,RB,RB,12,t170,B-DATE,PRESENT_REF,now,768,3,now-RB,now-RB
AP900815-0044,31,t176,35,1,Aug. 6,aug. 6,aug. 6,NNP CD,NN CD,29,t176,B-DATE,1990-08-06,Aug. 6,803 804,6 7,aug.-NN 6-CD,aug.-NN 6-CD
AP900815-0044,33,t188,134,1,Tuesday,tuesday,tuesday,NNP,NN,127,t188,B-DATE,1990-08-07,Tuesday,868,23,tuesday-NN,tuesday-NN
AP900815-0044,35,t194,56,1,today,today,today,NN,NN,51,t194,B-DATE,1990-08-15,today,896,8,today-NN,today-NN
AP900815-0044,38,t204,59,1,Tuesday,tuesday,tuesday,NNP,NN,52,t204,B-DATE,1990-08-07,Tuesday,956,10,tuesday-NN,tuesday-NN
AP900815-0044,39,t210,106,1,Monday,monday,monday,NNP,NN,100,t210,B-DATE,1990-08-06,Monday,994,20,monday-NN,monday-NN
AP900815-0044,40,t213,38,1,Thursday,thursday,thursday,NNP,NN,30,t213,B-DATE,1990-08-09,Thursday,1002,7,thursday-NN,thursday-NN
AP900815-0044,41,t215,85,1,today,today,today,NN,NN,80,t215,B-DATE,1990-08-15,today,1022,15,today-NN,today-NN
AP900815-0044,42,t1192,157,1,this crucial moment,this crucial moment,this crucial moment,DT JJ NN,DT JJ NN,138,t1192,B-DATE,PRESENT_REF,this crucial moment,1063 1064 1065,30 31 32,this-DT crucial-JJ moment-NN,this-DT crucial-JJ moment-NN
AP900815-0044,47,t252,10,1,Tuesday,tuesday,tuesday,NNP,NN,3,t252,B-DATE,1990-08-07,Tuesday,1174,2,tuesday-NN,tuesday-NN
AP900815-0044,52,t269,38,1,Tuesday,tuesday,tuesday,NNP,NN,31,t269,B-DATE,1990-08-07,Tuesday,1289,7,tuesday-NN,tuesday-NN
AP900815-0044,52,t271,67,1,now,now,now,RB,RB,64,t271,B-DATE,PRESENT_REF,now,1294,12,now-RB,now-RB
AP900815-0044,53,t275,23,1,today,today,today,NN,NN,18,t275,B-DATE,1990-08-15,today,1325,5,today-NN,today-NN
AP900815-0044,53,t276,41,1,eighth day,eighth day,eighth day,JJ NN,JJ NN,31,t276,B-DATE,1990-08-15,eighth day,1328 1329,8 9,eighth-JJ day-NN,eighth-JJ day-NN
AP900815-0044,53,t282,141,1,now,now,now,RB,RB,138,t282,B-DATE,PRESENT_REF,now,1346,26,now-RB,now-RB
AP900815-0044,55,t1460,86,1,week,week,weeks,NNS,NN,81,t1460,B-DURATION,PXW,weeks,1373,15,weeks-NN,week-NN
AP900816-0139,0,t288,95,1,Thursday,thursday,thursday,NNP,NN,87,t288,B-DATE,1990-08-16,Thursday,16,16,thursday-NN,thursday-NN
AP900816-0139,1,t289,33,1,two-week,two-week,two-week,JJ,JJ,25,t289,B-DURATION,P2W,two-week,48,6,two-week-JJ,two-week-JJ
AP900816-0139,2,t290,16,1,two-hour,two-hour,two-hour,JJ,JJ,8,t290,B-DURATION,PT2H,two-hour,96,3,two-hour-JJ,two-hour-JJ
AP900816-0139,3,t291,23,1,Thursday,thursday,thursday,NNP,NN,15,t291,B-DATE,1990-08-16,Thursday,135,4,thursday-NN,thursday-NN
AP900816-0139,16,t316,124,1,now,now,now,RB,RB,121,t316,B-DATE,PRESENT_REF,now,464,21,now-RB,now-RB
AP900816-0139,17,t292,63,1,Aug. 2,aug. 2,aug. 2,NNP CD,NN CD,57,t292,B-DATE,1990-08-02,Aug. 2,477 478,9 10,aug.-NN 2-CD,aug.-NN 2-CD
AP900816-0139,18,t293,57,1,Thursday,thursday,thursday,NNP,NN,49,t293,B-DATE,1990-08-16,Thursday,502,10,thursday-NN,thursday-NN
AP900816-0139,26,t339,51,1,a fairly lengthy period,a fairly lengthy period,a fairly lengthy period,DT RB JJ NN,DT RB JJ NN,28,t339,B-DURATION,PXX,a fairly lengthy period,721 722 723 724,8 9 10 11,a-DT fairly-RB lengthy-JJ period-NN,a-DT fairly-RB lengthy-JJ period-NN
AP900816-0139,39,t295,8,1,now,now,now,RB,RB,5,t295,B-DATE,PRESENT_REF,now,966,2,now-RB,now-RB
AP900816-0139,45,t299,32,1,now,now,now,RB,RB,29,t299,B-DATE,PRESENT_REF,now,1092,7,now-RB,now-RB
AP900816-0139,50,t352,13,1,a day earlier,a day earlier,a day earlier,DT NN RB,DT NN RB,0,t352,B-DURATION,P1D,A day earlier,1182 1183 1184,1 2 3,a-DT day-NN earlier-RB,a-DT day-NN earlier-RB
AP900816-0139,51,t300,35,1,this week,this week,this week,DT NN,DT NN,26,t300,B-DATE,1990-W33,this week,1216 1217,5 6,this-DT week-NN,this-DT week-NN
AP900816-0139,56,t301,76,1,Wednesday,wednesday,wednesday,NNP,NN,67,t301,B-DATE,1990-08-15,Wednesday,1324,12,wednesday-NN,wednesday-NN
AP900816-0139,57,t302,13,1,Thursday,thursday,thursday,NNP,NN,5,t302,B-DATE,1990-08-16,Thursday,1335,2,thursday-NN,thursday-NN
AP900816-0139,59,t303,175,1,September,september,september,NNP,NN,166,t303,B-DATE,1990-09,September,1406,29,september-NN,september-NN
AP900816-0139,60,t304,67,1,Thursday,thursday,thursday,NNP,NN,59,t304,B-DATE,1990-08-16,Thursday,1418,11,thursday-NN,thursday-NN
APW19980213.1310,0,t110,67,1,210 year,210 year,210 years,CD NNS,CD NN,58,t110,B-DURATION,P210Y,210 years,12 13,12 13,210-CD years-NN,210-CD year-NN
APW19980213.1310,0,t111,164,1,Friday,friday,friday,NNP,NN,158,t111,B-DATE,1998-02-13,Friday,27,27,friday-NN,friday-NN
APW19980213.1310,1,t112,115,1,next year,next year,next year,JJ NN,JJ NN,106,t112,B-DATE,1999,next year,56 57,19 20,next-JJ year-NN,next-JJ year-NN
APW19980213.1310,7,t114,136,1,Friday,friday,friday,NNP,NN,130,t114,B-DATE,1998-02-13,Friday,180,20,friday-NN,friday-NN
APW19980213.1310,9,t121,79,1,2000,2000,2000,CD,CD,75,t121,B-DATE,2000,2000,217,13,2000-CD,2000-CD
APW19980213.1310,15,t117,106,1,several year ago,several year ago,several years ago,JJ NNS IN,JJ NN IN,89,t117,B-DATE,PAST_REF,several years ago,366 367 368,16 17 18,several-JJ years-NN ago-IN,several-JJ year-NN ago-IN
APW19980213.1310,15,t358,136,1,this year,this year,this year,DT NN,DT NN,127,t358,B-DATE,1998,this year,373 374,23 24,this-DT year-NN,this-DT year-NN
APW19980213.1310,16,t118,41,1,1901,1901,1901,CD,CD,37,t118,B-DATE,1901,1901,386,6,1901-CD,1901-CD
APW19980213.1310,19,t1000,72,1,20th century,20th century,20th century,JJ NN,JJ NN,60,t1000,B-DATE,19,20th century,466 467,16 17,20th-JJ century-NN,20th-JJ century-NN
APW19980213.1310,19,t119,216,1,almost a hundred year,almost a hundred year,almost a hundred years,RB DT CD NNS,RB DT CD NN,194,t119,B-DURATION,P100Y,almost a hundred years,491 492 493 494,41 42 43 44,almost-RB a-DT hundred-CD years-NN,almost-RB a-DT hundred-CD year-NN
APW19980213.1310,21,t120,105,1,1996,1996,1996,CD,CD,101,t120,B-DATE,1996,1996,555,18,1996-CD,1996-CD
APW19980213.1320,0,t43,113,1,August,august,august,NNP,NN,107,t43,B-DATE,1998-08,August,19,19,august-NN,august-NN
APW19980213.1320,1,t44,30,1,a month,a month,a month,DT NN,DT NN,23,t44,B-DURATION,P1M,a month,38 39,5 6,a-DT month-NN,a-DT month-NN
APW19980213.1320,3,t46,74,1,current,current,current,JJ,JJ,67,t46,B-DATE,PRESENT_REF,current,87,13,current-JJ,current-JJ
APW19980213.1320,3,t47,173,1,Friday,friday,friday,NNP,NN,167,t47,B-DATE,1998-02-13,Friday,105,31,friday-NN,friday-NN
APW19980213.1320,4,t190,112,1,Monday,monday,monday,NNP,NN,106,t190,B-SET,XXXX-WXX-1TNI,Monday,126,20,monday-NN,monday-NN
APW19980213.1320,4,t189,131,1,Tuesday night,tuesday night,tuesday nights,NNP NNS,NN NN,117,t189,B-SET,XXXX-WXX-2TNI,Tuesday nights,128 129,22 23,tuesday-NN nights-NN,tuesday-NN night-NN
APW19980213.1320,4,t56,145,1,March 30,march 30,march 30,NNP CD,NN CD,137,t56,B-DATE,1998-03-30,March 30,131 132,25 26,march-NN 30-CD,march-NN 30-CD
APW19980213.1320,4,t54,186,1,each Thursday,each thursday,each thursday,DT NNP,DT NN,173,t54,B-SET,XXXX-WXX-4,each Thursday,138 139,32 33,each-DT thursday-NN,each-DT thursday-NN
APW19980213.1320,4,t55,200,1,August 6,august 6,august 6,NNP CD,NN CD,192,t55,B-DATE,1998-08-06,August 6,141 142,35 36,august-NN 6-CD,august-NN 6-CD
APW19980213.1380,0,t33,175,1,Friday,friday,friday,NNP,NN,169,t33,B-DATE,1998-02-13,Friday,31,31,friday-NN,friday-NN
APW19980213.1380,1,t39,23,1,Friday,friday,friday,NNP,NN,17,t39,B-DATE,1998-02-13,Friday,40,3,friday-NN,friday-NN
APW19980213.1380,2,t35,109,1,10 p.m. Wednesday,10 p.m. wednesday,10 p.m. wednesday,CD NN NNP,CD NN NN,92,t35,B-TIME,1998-02-11T22:00,10 p.m. Wednesday,80 81 82,17 18 19,10-CD p.m.-NN wednesday-NN,10-CD p.m.-NN wednesday-NN
APW19980213.1380,3,t36,96,1,noon Thursday,noon thursday,noon thursday,NN NNP,NN NN,83,t36,B-TIME,1998-02-12T12:00,noon Thursday,102 103,16 17,noon-NN thursday-NN,noon-NN thursday-NN
APW19980213.1380,9,t37,120,1,recent year,recent year,recent years,JJ NNS,JJ NN,108,t37,B-DURATION,PXY,recent years,223 224,19 20,recent-JJ years-NN,recent-JJ year-NN
APW19980219.0476,0,t2443,99,1,Thursday,thursday,thursday,NNP,NN,91,t2443,B-DATE,1998-02-19,Thursday,17,17,thursday-NN,thursday-NN
APW19980219.0476,0,t130,251,1,almost two year ago,almost two year ago,almost two years ago,RB CD NNS RB,RB CD NN RB,231,t130,B-DURATION,P2Y,almost two years ago,41 42 43 44,41 42 43 44,almost-RB two-CD years-NN ago-RB,almost-RB two-CD year-NN ago-RB
APW19980219.0476,1,t133,252,1,the next two week,the next two week,the next two weeks,DT JJ CD NNS,DT JJ CD NN,234,t133,B-DURATION,P2W,the next two weeks,84 85 86 87,39 40 41 42,the-DT next-JJ two-CD weeks-NN,the-DT next-JJ two-CD week-NN
APW19980219.0476,2,t134,143,1,March 1996,march 1996,march 1996,NNP CD,NN CD,133,t134,B-DATE,1996-03,March 1996,110 111,22 23,march-NN 1996-CD,march-NN 1996-CD
APW19980219.0476,4,t1000,108,1,11th century,11th century,11th century,JJ NN,JJ NN,96,t1000,B-DATE,10,11th century,140 141,19 20,11th-JJ century-NN,11th-JJ century-NN
APW19980219.0476,5,t135,20,1,January this year,january this year,january this year,NNP DT NN,NN DT NN,3,t135,B-DATE,1998-01,January this year,157 158 159,2 3 4,january-NN this-DT year-NN,january-NN this-DT year-NN
APW19980219.0476,6,t137,143,1,week or month,week or month,weeks or months,NNS CC NNS,NN CC NN,128,t137,B-DURATION,PXW,weeks or months,206 207 208,26 27 28,weeks-NN or-CC months-NN,week-NN or-CC month-NN
APW19980219.0476,6,t136,177,1,"March 26 , 1996","march 26 , 1996","march 26 , 1996","NNP CD , CD","NN CD , CD",162,t136,B-DATE,1996-03-26,"March 26 , 1996",213 214 215 216,33 34 35 36,"march-NN 26-CD ,-, 1996-CD","march-NN 26-CD ,-, 1996-CD"
APW19980219.0476,7,t138,71,1,22 month,22 month,22 months,CD NNS,CD NN,62,t138,B-DURATION,P22M,22 months,229 230,12 13,22-CD months-NN,22-CD month-NN
APW19980219.0476,10,t2449,77,1,Thursday,thursday,thursday,NNP,NN,69,t2449,B-DATE,1998-02-19,Thursday,295,10,thursday-NN,thursday-NN
APW19980219.0476,11,t131,143,1,last year,last year,last year,JJ NN,JJ NN,134,t131,B-DATE,1997,last year,349 350,25 26,last-JJ year-NN,last-JJ year-NN
APW19980219.0476,14,t2452,25,1,now,now,now,RB,RB,22,t2452,B-DATE,PRESENT_REF,now,443,5,now-RB,now-RB
APW19980219.0476,14,t140,70,1,a week,a week,a week,DT NN,DT NN,64,t140,B-DURATION,P1W,a week,450 451,12 13,a-DT week-NN,a-DT week-NN
APW19980219.0476,15,t142,172,1,the late 1970,the late 1970,the late 1970s,DT JJ NNS,DT JJ NN,158,t142,B-DATE,197,the late 1970s,500 501 502,29 30 31,the-DT late-JJ 1970s-NN,the-DT late-JJ 1970-NN
APW19980219.0476,17,t143,45,1,mid-1996,mid-1996,mid-1996,NN,NN,37,t143,B-DATE,1996,mid-1996,538,9,mid-1996-NN,mid-1996-NN
APW19980219.0476,20,t2228,21,1,June last year,june last year,june last year,NNP JJ NN,NN JJ NN,7,t2228,B-DATE,1997-06,June last year,590 591 592,3 4 5,june-NN last-JJ year-NN,june-NN last-JJ year-NN
APW19980219.0476,21,t169,17,1,July last year,july last year,july last year,NNP JJ NN,NN JJ NN,3,t169,B-DATE,1997-06,July last year,609 610 611,2 3 4,july-NN last-JJ year-NN,july-NN last-JJ year-NN
APW19980227.0468,0,t15,236,1,Friday,friday,friday,NNP,NN,230,t15,B-DATE,1998-02-27,Friday,45,45,friday-NN,friday-NN
APW19980227.0468,3,t16,101,1,February 1947,february 1947,february 1947,NNP CD,NN CD,88,t16,B-DATE,1947-02,February 1947,109 110,15 16,february-NN 1947-CD,february-NN 1947-CD
APW19980227.0476,0,t21,63,1,Friday,friday,friday,NNP,NN,57,t21,B-DATE,1998-02-27,Friday,12,12,friday-NN,friday-NN
APW19980227.0476,0,t22,236,1,1988,1988,1988,CD,CD,232,t22,B-DATE,1988,1988,44,44,1988-CD,1988-CD
APW19980227.0476,2,t23,85,1,1995,1995,1995,CD,CD,81,t23,B-DATE,1995,1995,101,14,1995-CD,1995-CD
APW19980227.0476,2,t24,195,1,1971,1971,1971,CD,CD,191,t24,B-DATE,1971,1971,118,31,1971-CD,1971-CD
APW19980227.0487,0,t70,114,1,Friday,friday,friday,NNP,NN,108,t70,B-DATE,1998-02-27,Friday,22,22,friday-NN,friday-NN
APW19980227.0487,2,t71,43,1,more than four hour,more than four hour,more than four hours,JJR IN CD NNS,JJ IN CD NN,23,t71,B-DURATION,PT4H,more than four hours,66 67 68 69,6 7 8 9,more-JJ than-IN four-CD hours-NN,more-JJ than-IN four-CD hour-NN
APW19980227.0487,2,t72,50,1,Friday,friday,friday,NNP,NN,44,t72,B-DATE,1998-02-27,Friday,70,10,friday-NN,friday-NN
APW19980227.0487,3,t73,60,1,November 1995,november 1995,november 1995,NNP CD,NN CD,47,t73,B-DATE,1995-11,November 1995,90 91,12 13,november-NN 1995-CD,november-NN 1995-CD
APW19980227.0489,0,t41,85,1,Friday,friday,friday,NNP,NN,79,t41,B-DATE,1998-02-27,Friday,15,15,friday-NN,friday-NN
APW19980227.0489,0,t42,203,1,nearly four year ago,nearly four year ago,nearly four years ago,RB CD NNS RB,RB CD NN RB,182,t42,B-DATE,1994,nearly four years ago,30 31 32 33,30 31 32 33,nearly-RB four-CD years-NN ago-RB,nearly-RB four-CD year-NN ago-RB
APW19980227.0489,1,t43,199,1,"April 6 , 1994","april 6 , 1994","april 6 , 1994","NNP CD , CD","NN CD , CD",185,t43,B-DATE,1994-04-06,"April 6 , 1994",63 64 65 66,29 30 31 32,"april-NN 6-CD ,-, 1994-CD","april-NN 6-CD ,-, 1994-CD"
APW19980227.0489,4,t44,154,1,2 1/2 year,2 1/2 year,2 1/2 years,CD NNS,CD NN,143,t44,B-DURATION,P2Y6M,2 1/2 years,128 129,26 27,21/2-CD years-NN,21/2-CD year-NN
APW19980227.0489,6,t45,88,1,a year,a year,a year,DT NN,DT NN,82,t45,B-DURATION,P1Y,a year,191 192,16 17,a-DT year-NN,a-DT year-NN
APW19980227.0494,0,t2297,130,1,Friday,friday,friday,NNP,NN,124,t2297,B-DATE,1998-02-27,Friday,21,21,friday-NN,friday-NN
APW19980227.0494,1,t154,105,1,century,century,centuries,NNS,NN,96,t154,B-DURATION,PXE,centuries,49,17,centuries-NN,century-NN
APW19980227.0494,8,t143,123,1,last May,last may,last may,JJ NNP,JJ NN,115,t143,B-DATE,1997-05,last May,195 196,19 20,last-JJ may-NN,last-JJ may-NN
APW19980227.0494,10,t2300,190,1,at least 20 more year,at least 20 more year,at least 20 more years,IN JJS CD JJR NNS,IN JJ CD JJ NN,168,t2300,B-DURATION,P20Y,at least 20 more years,254 255 256 257 258,32 33 34 35 36,at-IN least-JJ 20-CD more-JJ years-NN,at-IN least-JJ 20-CD more-JJ year-NN
APW19980227.0494,15,t146,9,1,last year,last year,last year,JJ NN,JJ NN,0,t146,B-DATE,1997,Last year,385 386,1 2,last-JJ year-NN,last-JJ year-NN
APW19980227.0494,18,t149,11,1,the past,the past,the past,DT NN,DT NN,3,t149,B-DATE,PAST_REF,the past,455 456,2 3,the-DT past-NN,the-DT past-NN
APW19980227.0494,19,t150,34,1,four-day,four-day,four-day,JJ,JJ,26,t150,B-DURATION,P4D,four-day,480,7,four-day-JJ,four-day-JJ
APW19980227.0494,19,t500,75,1,10-year,10-year,10-year,JJ,JJ,68,t500,B-DURATION,P10Y,10-year,488,15,10-year-JJ,10-year-JJ
APW19980227.0494,19,t2303,185,1,last year,last year,last year,JJ NN,JJ NN,176,t2303,B-DATE,1997,last year,507 508,34 35,last-JJ year-NN,last-JJ year-NN
APW19980227.0494,19,t152,219,1,1996,1996,1996,CD,CD,215,t152,B-DATE,1996,1996,515,42,1996-CD,1996-CD
APW19980227.0494,20,t151,28,1,Friday,friday,friday,NNP,NN,22,t151,B-DATE,1998-02-27,Friday,521,5,friday-NN,friday-NN
APW19980301.0720,0,t123,79,1,Sunday,sunday,sunday,NNP,NN,73,t123,B-DATE,1998-03-01,Sunday,13,13,sunday-NN,sunday-NN
APW19980301.0720,1,t125,60,1,Sunday,sunday,sunday,NNP,NN,54,t125,B-DATE,1998-03-01,Sunday,45,9,sunday-NN,sunday-NN
APW19980301.0720,3,t128,9,1,1978,1978,1978,CD,CD,5,t128,B-DATE,1978,1978,108,2,1978-CD,1978-CD
APW19980301.0720,4,t127,9,1,Friday,friday,friday,NNP,NN,3,t127,B-DATE,1998-02-27,Friday,147,2,friday-NN,friday-NN
APW19980301.0720,5,t129,42,1,Sunday,sunday,sunday,NNP,NN,36,t129,B-DATE,1998-03-01,Sunday,180,6,sunday-NN,sunday-NN
APW19980301.0720,9,t134,69,1,today,today,today,NN,NN,64,t134,B-DATE,1998-03-01,today,270,16,today-NN,today-NN
APW19980301.0720,12,t1979,10,1,1985,1985,1985,CD,CD,6,t1979,B-DATE,1985,1985,333,2,1985-CD,1985-CD
APW19980301.0720,13,t1980,9,1,last week,last week,last week,JJ NN,JJ NN,0,t1980,B-DATE,1998-W08,Last week,359 360,1 2,last-JJ week-NN,last-JJ week-NN
APW19980301.0720,14,t1981,70,1,last year,last year,last year,JJ NN,JJ NN,61,t1981,B-DURATION,1997,last year,384 385,11 12,last-JJ year-NN,last-JJ year-NN
APW19980301.0720,15,t1982,109,1,last February,last february,last february,JJ NNP,JJ NN,96,t1982,B-DATE,1997-02,last February,403 404,17 18,last-JJ february-NN,last-JJ february-NN
APW19980301.0720,16,t1983,32,1,Sunday,sunday,sunday,NNP,NN,26,t1983,B-DATE,1998-03-01,Sunday,410,5,sunday-NN,sunday-NN
APW19980301.0720,16,t1985,69,1,last week,last week,last week,JJ NN,JJ NN,60,t1985,B-DATE,1998-W08,last week,415 416,10 11,last-JJ week-NN,last-JJ week-NN
APW19980301.0720,17,t1986,128,1,last week,last week,last week,JJ NN,JJ NN,119,t1986,B-DATE,1998-W08,last week,459 460,22 23,last-JJ week-NN,last-JJ week-NN
APW19980301.0720,18,t1987,117,1,Sunday,sunday,sunday,NNP,NN,111,t1987,B-DATE,1998-03-01,Sunday,501,21,sunday-NN,sunday-NN
APW19980301.0720,19,t1988,58,1,nearly two year,nearly two year,nearly two years,RB CD NNS,RB CD NN,42,t1988,B-DURATION,P2Y,nearly two years,521 522 523,8 9 10,nearly-RB two-CD years-NN,nearly-RB two-CD year-NN
APW19980301.0720,20,t1989,130,1,six week ago,six week ago,six weeks ago,CD NNS RB,CD NN RB,117,t1989,B-DATE,1998-W02,six weeks ago,544 545 546,20 21 22,six-CD weeks-NN ago-RB,six-CD week-NN ago-RB
APW19980301.0720,20,t1993,151,1,the time,the time,the time,DT NN,DT NN,143,t1993,B-DATE,PAST_REF,the time,550 551,26 27,the-DT time-NN,the-DT time-NN
APW19980306.1001,0,t138,112,1,Friday,friday,friday,NNP,NN,106,t138,B-DATE,1998-03-06,Friday,21,21,friday-NN,friday-NN
APW19980306.1001,0,t139,132,1,nearly two month,nearly two month,nearly two months,RB CD NNS,RB CD NN,115,t139,B-DURATION,P2M,nearly two months,23 24 25,23 24 25,nearly-RB two-CD months-NN,nearly-RB two-CD month-NN
APW19980306.1001,1,t140,38,1,10-hour,10-hour,10-hour,JJ,JJ,31,t140,B-DURATION,PT10H,10-hour,40,8,10-hour-JJ,10-hour-JJ
