Doc Id,Sentence Id,Event Id,Aspect,End Offset,Event Class,Is Event,Lemma Stanford,Lowercase Lemma Stanford,Lowercase Token,POS Tag Stanford,Polarity,Pos,Start Offset,Tense,Token,Token Id Doc,Token Id Sent,Token POS,Lemma POS
XIE19990210.0079,2,e8,NONE,36,B-OCCURRENCE,1,accession,accession,accession,NN,POS,NN,27,NONE,accession,66,6,accession-NN,accession-NN
XIE19990210.0079,3,e11,NONE,19,B-OCCURRENCE,1,accession,accession,accession,NN,POS,NN,10,NONE,accession,84,3,accession-NN,accession-NN
XIE19990210.0079,5,e21,NONE,73,B-OCCURRENCE,1,accession,accession,accession,NN,POS,NN,64,NONE,accession,150,10,accession-NN,accession-NN
XIE19990313.0173,0,e1,NONE,62,B-OCCURRENCE,1,accession,accession,accession,NN,POS,NN,53,NONE,accession,11,11,accession-NN,accession-NN
XIE19990313.0173,7,e34,NONE,109,B-OCCURRENCE,1,accession,accession,accession,NN,POS,NN,100,NONE,accession,227,17,accession-NN,accession-NN
XIE19990313.0229,8,e28,NONE,84,B-OCCURRENCE,1,accession,accession,accession,NN,POS,NN,75,NONE,accession,238,13,accession-NN,accession-NN
APW20000107.0088,17,e98,NONE,37,B-OCCURRENCE,1,accident,accident,accident,NN,NEG,NN,29,NONE,accident,400,7,accident-NN,accident-NN
APW20000115.0209,17,e98,NONE,37,B-OCCURRENCE,1,accident,accident,accident,NN,NEG,NN,29,NONE,accident,400,7,accident-NN,accident-NN
wsj_0938,16,e110,NONE,87,B-OCCURRENCE,1,accommodate,accommodate,accommodate,VB,POS,VB,76,INFINITIVE,accommodate,527,16,accommodate-VB,accommodate-VB
WSJ900813-0157,44,e302,NONE,85,B-OCCURRENCE,1,accommodation,accommodation,accommodations,NNS,POS,NN,71,NONE,accommodations,1384,14,accommodations-NN,accommodation-NN
APW20000107.0318,26,e49,NONE,85,B-OCCURRENCE,1,accompany,accompany,accompanied,VBN,NEG,VB,74,PAST,accompanied,586,14,accompanied-VB,accompany-VB
NYT20000329.0359,8,e33,NONE,36,B-OCCURRENCE,1,accompany,accompany,accompanied,VBN,NEG,VB,25,PAST,accompanied,327,6,accompanied-VB,accompany-VB
NYT20000403.0463,14,e42,NONE,169,B-OCCURRENCE,1,accompany,accompany,accompany,VB,NEG,VB,160,INFINITIVE,accompany,420,28,accompany-VB,accompany-VB
wsj_0583,3,e198,NONE,85,B-STATE,1,accord,accord,accord,NN,POS,NN,79,NONE,accord,118,16,accord-NN,accord-NN
wsj_0679,6,e58,NONE,11,B-I_ACTION,1,accord,accord,accord,NN,POS,NN,5,NONE,accord,155,2,accord-NN,accord-NN
AP900815-0044,33,e190,NONE,146,B-REPORTING,1,accord,accord,according,VBG,POS,VB,137,PRESPART,according,870,25,according-VB,accord-VB
AP900815-0044,37,e200,NONE,109,B-REPORTING,1,accord,accord,according,VBG,POS,VB,100,PRESPART,according,934,19,according-VB,accord-VB
AP900816-0139,34,e258,NONE,90,B-REPORTING,1,accord,accord,according,VBG,POS,VB,81,PRESPART,according,882,16,according-VB,accord-VB
APW19980227.0468,0,e91,NONE,205,B-REPORTING,1,accord,accord,according,VBG,POS,VB,196,PRESPART,according,39,39,according-VB,accord-VB
APW19980227.0494,12,e156,NONE,116,B-REPORTING,1,accord,accord,according,VBG,POS,VB,107,PRESPART,according,318,18,according-VB,accord-VB
CNN19980223.1130.0960,7,e39,NONE,14,B-REPORTING,1,accord,accord,according,VBG,POS,VB,5,PRESPART,according,150,2,according-VB,accord-VB
PRI19980303.2000.2550,29,e161,NONE,9,B-I_STATE,1,accord,accord,according,VBG,POS,VB,0,PRESPART,According,626,1,according-VB,accord-VB
wsj_0026,7,e40,NONE,210,B-REPORTING,1,accord,accord,according,VBG,POS,VB,201,PRESPART,according,228,39,according-VB,accord-VB
wsj_0520,4,e80,NONE,100,B-REPORTING,1,accord,accord,according,VBG,POS,VB,91,PRESPART,according,137,19,according-VB,accord-VB
wsj_0557,2,e80,NONE,153,B-REPORTING,1,accord,accord,according,VBG,POS,VB,144,PRESPART,according,99,29,according-VB,accord-VB
wsj_0570,10,e109,NONE,87,B-REPORTING,1,accord,accord,according,VBG,POS,VB,78,PRESPART,according,284,17,according-VB,accord-VB
wsj_0585,38,e346,NONE,114,B-REPORTING,1,accord,accord,according,VBG,POS,VB,105,PRESPART,according,963,21,according-VB,accord-VB
wsj_0679,5,e59,NONE,9,B-REPORTING,1,accord,accord,according,VBG,POS,VB,0,PRESPART,According,128,1,according-VB,accord-VB
wsj_0745,1,e149,NONE,139,B-REPORTING,1,accord,accord,according,VBG,POS,VB,130,PRESPART,according,62,26,according-VB,accord-VB
wsj_0768,1,e167,NONE,125,B-REPORTING,1,accord,accord,according,VBG,POS,VB,116,PRESPART,according,54,26,according-VB,accord-VB
wsj_0768,31,e1993,NONE,140,B-REPORTING,1,accord,accord,according,VBG,POS,VB,131,PRESPART,according,796,25,according-VB,accord-VB
wsj_0778,5,e206,NONE,171,B-REPORTING,1,accord,accord,according,VBG,POS,VB,162,PRESPART,according,177,29,according-VB,accord-VB
wsj_0778,10,e208,NONE,9,B-REPORTING,1,accord,accord,according,VBG,POS,VB,0,PRESPART,According,346,1,according-VB,accord-VB
wsj_0778,23,e226,NONE,9,B-REPORTING,1,accord,accord,according,VBG,POS,VB,0,PRESPART,According,711,1,according-VB,accord-VB
wsj_0981,5,e100,NONE,250,B-REPORTING,1,accord,accord,according,VBG,POS,VB,241,PRESPART,according,237,44,according-VB,accord-VB
wsj_1014,24,e2231,PROGRESSIVE,9,B-REPORTING,1,accord,accord,according,VBG,POS,VB,0,PRESENT,According,778,1,according-VB,accord-VB
wsj_0132,0,e5,NONE,129,B-OCCURRENCE,1,account,account,account,VB,POS,VB,122,INFINITIVE,account,22,22,account-VB,account-VB
wsj_0928,6,e239,NONE,62,B-I_STATE,1,account,account,accounted,VBD,POS,VB,53,PAST,accounted,165,11,accounted-VB,account-VB
wsj_1006,1,e12,NONE,33,B-OCCURRENCE,1,account,account,accounted,VBD,POS,VB,24,PAST,accounted,32,4,accounted-VB,account-VB
wsj_1014,16,e96,NONE,111,B-OCCURRENCE,1,account,account,accounted,VBD,POS,VB,102,PAST,accounted,492,18,accounted-VB,account-VB
wsj_1033,6,e23,NONE,84,B-OCCURRENCE,1,account,account,accounted,VBD,POS,VB,75,PAST,accounted,153,15,accounted-VB,account-VB
NYT19980206.0460,15,e78,NONE,16,B-OCCURRENCE,1,account,account,accounting,VBG,POS,VB,6,PRESPART,accounting,409,2,accounting-VB,account-VB
wsj_0157,3,e11,NONE,106,B-OCCURRENCE,1,accrue,accrue,accrue,VB,POS,VB,100,NONE,accrue,112,19,accrue-VB,accrue-VB
VOA19980331.1700.1533,12,e67,NONE,199,B-OCCURRENCE,1,accumulate,accumulate,accumulate,VB,POS,VB,189,NONE,accumulate,361,40,accumulate-VB,accumulate-VB
APW19980227.0487,11,e59,NONE,27,B-I_ACTION,1,accusation,accusation,accusations,NNS,POS,NN,16,NONE,accusations,270,4,accusations-NN,accusation-NN
NYT19981025.0188,18,e75,NONE,51,B-OCCURRENCE,1,accusation,accusation,accusations,NNS,POS,NN,40,NONE,accusations,515,7,accusations-NN,accusation-NN
AP900815-0044,57,e293,NONE,10,B-I_ACTION,1,accuse,accuse,accused,VBD,POS,VB,3,PAST,accused,1401,2,accused-VB,accuse-VB
APW19990607.0041,0,e2,NONE,124,B-STATE,1,accuse,accuse,accused,VBD,POS,VB,117,NONE,accused,19,19,accused-VB,accuse-VB
APW19991008.0151,11,e22,NONE,20,B-I_ACTION,1,accuse,accuse,accused,VBN,POS,VB,13,PAST,accused,253,4,accused-VB,accuse-VB
APW19991008.0265,11,e26,NONE,26,B-I_ACTION,1,accuse,accuse,accused,VBN,POS,VB,19,PAST,accused,223,6,accused-VB,accuse-VB
NYT19980907.0112,12,e44,NONE,172,B-I_ACTION,1,accuse,accuse,accused,VBN,POS,VB,165,PRESENT,accused,397,27,accused-VB,accuse-VB
wsj_0778,18,e143,NONE,30,B-I_ACTION,1,accuse,accuse,accused,VBD,POS,VB,23,PAST,accused,583,7,accused-VB,accuse-VB
wsj_0810,1,e7,NONE,43,B-I_ACTION,1,accuse,accuse,accused,VBD,POS,VB,36,PAST,accused,44,8,accused-VB,accuse-VB
APW20000417.0031,13,e40,NONE,78,B-I_ACTION,1,accuse,accuse,accusing,VBG,NEG,VB,70,PRESPART,accusing,372,13,accusing-VB,accuse-VB
APW19990607.0041,6,e31,NONE,132,B-OCCURRENCE,1,achieve,achieve,achieve,VB,POS,VB,125,INFINITIVE,achieve,229,25,achieve-VB,achieve-VB
wsj_0171,5,e20,NONE,135,B-OCCURRENCE,1,achieve,achieve,achieve,VB,POS,VB,128,INFINITIVE,achieve,145,22,achieve-VB,achieve-VB
wsj_0610,36,e143,NONE,109,B-I_STATE,1,achieve,achieve,achieve,VB,POS,VB,102,INFINITIVE,achieve,842,20,achieve-VB,achieve-VB
wsj_0973,9,e49,NONE,41,B-OCCURRENCE,1,achieve,achieve,achieve,VB,POS,VB,34,FUTURE,achieve,245,7,achieve-VB,achieve-VB
wsj_0027,1,e14,NONE,136,B-OCCURRENCE,1,achieve,achieve,achieved,VBN,POS,VB,128,PRESENT,achieved,57,23,achieved-VB,achieve-VB
wsj_0575,23,e127,NONE,101,B-I_STATE,1,achieve,achieve,achieved,VBD,POS,VB,93,PAST,achieved,598,15,achieved-VB,achieve-VB
wsj_0575,10,e56,PROGRESSIVE,148,B-I_STATE,1,achieve,achieve,achieving,VBG,POS,VB,139,PRESENT,achieving,261,26,achieving-VB,achieve-VB
NYT20000601.0442,9,e25,NONE,17,B-REPORTING,1,acknowledge,acknowledge,acknowledge,VBP,NEG,VB,6,PRESENT,acknowledge,247,3,acknowledge-VB,acknowledge-VB
APW19980227.0487,5,e27,NONE,22,B-I_ACTION,1,acknowledge,acknowledge,acknowledged,VBD,POS,VB,10,PAST,acknowledged,126,2,acknowledged-VB,acknowledge-VB
NYT19980402.0453,0,e4,NONE,192,B-REPORTING,1,acknowledge,acknowledge,acknowledged,VBD,POS,VB,180,PAST,acknowledged,34,34,acknowledged-VB,acknowledge-VB
wsj_0575,22,e118,NONE,105,B-REPORTING,1,acknowledge,acknowledge,acknowledged,VBD,POS,VB,93,PAST,acknowledged,560,17,acknowledged-VB,acknowledge-VB
wsj_0584,10,e63,NONE,75,B-I_ACTION,1,acknowledge,acknowledge,acknowledged,VBD,POS,VB,63,PAST,acknowledged,274,16,acknowledged-VB,acknowledge-VB
WSJ900813-0157,12,e72,NONE,85,B-REPORTING,1,acknowledge,acknowledge,acknowledged,VBD,POS,VB,73,PAST,acknowledged,413,15,acknowledged-VB,acknowledge-VB
wsj_0585,12,e63,NONE,86,B-REPORTING,1,acknowledge,acknowledge,acknowledges,VBZ,POS,VB,74,PRESENT,acknowledges,314,14,acknowledges-VB,acknowledge-VB
wsj_0172,1,e8,NONE,106,B-OCCURRENCE,1,acquire,acquire,acquire,VB,POS,VB,99,INFINITIVE,acquire,42,21,acquire-VB,acquire-VB
wsj_0316,0,e3,NONE,58,B-OCCURRENCE,1,acquire,acquire,acquire,VB,POS,VB,51,INFINITIVE,acquire,9,9,acquire-VB,acquire-VB
wsj_0321,0,e5,NONE,77,B-OCCURRENCE,1,acquire,acquire,acquire,VB,POS,VB,70,INFINITIVE,acquire,14,14,acquire-VB,acquire-VB
wsj_0346,0,e3,NONE,56,B-OCCURRENCE,1,acquire,acquire,acquire,VB,POS,VB,49,INFINITIVE,acquire,12,12,acquire-VB,acquire-VB
wsj_0356,4,e21,NONE,74,B-I_ACTION,1,acquire,acquire,acquire,VB,POS,VB,67,INFINITIVE,acquire,127,13,acquire-VB,acquire-VB
wsj_0505,0,e3,NONE,58,B-OCCURRENCE,1,acquire,acquire,acquire,VB,POS,VB,51,INFINITIVE,acquire,10,10,acquire-VB,acquire-VB
wsj_0533,0,e4,NONE,76,B-OCCURRENCE,1,acquire,acquire,acquire,VB,POS,VB,69,INFINITIVE,acquire,11,11,acquire-VB,acquire-VB
wsj_0570,12,e63,NONE,68,B-OCCURRENCE,1,acquire,acquire,acquire,VB,POS,VB,61,INFINITIVE,acquire,313,13,acquire-VB,acquire-VB
wsj_0583,0,e3,NONE,53,B-OCCURRENCE,1,acquire,acquire,acquire,VB,POS,VB,46,INFINITIVE,acquire,8,8,acquire-VB,acquire-VB
wsj_0583,31,e169,NONE,44,B-OCCURRENCE,1,acquire,acquire,acquire,VB,POS,VB,37,INFINITIVE,acquire,929,8,acquire-VB,acquire-VB
wsj_0662,0,e7,NONE,134,B-OCCURRENCE,1,acquire,acquire,acquire,VB,POS,VB,127,INFINITIVE,acquire,27,27,acquire-VB,acquire-VB
wsj_0713,1,e9,NONE,95,B-OCCURRENCE,1,acquire,acquire,acquire,VB,POS,VB,88,INFINITIVE,acquire,45,16,acquire-VB,acquire-VB
wsj_0751,0,e3,NONE,91,B-OCCURRENCE,1,acquire,acquire,acquire,VB,POS,VB,84,INFINITIVE,acquire,16,16,acquire-VB,acquire-VB
wsj_0810,8,e53,NONE,95,B-OCCURRENCE,1,acquire,acquire,acquire,VB,POS,VB,88,INFINITIVE,acquire,269,20,acquire-VB,acquire-VB
wsj_0906,1,e11,NONE,149,B-OCCURRENCE,1,acquire,acquire,acquire,VB,POS,VB,142,INFINITIVE,acquire,53,24,acquire-VB,acquire-VB
wsj_0938,0,e5,NONE,192,B-OCCURRENCE,1,acquire,acquire,acquire,VB,POS,VB,185,INFINITIVE,acquire,30,30,acquire-VB,acquire-VB
wsj_0938,1,e12,NONE,131,B-OCCURRENCE,1,acquire,acquire,acquire,VB,POS,VB,124,INFINITIVE,acquire,54,21,acquire-VB,acquire-VB
wsj_0938,12,e84,NONE,78,B-OCCURRENCE,1,acquire,acquire,acquire,VB,POS,VB,71,INFINITIVE,acquire,395,14,acquire-VB,acquire-VB
wsj_0938,17,e120,NONE,124,B-OCCURRENCE,1,acquire,acquire,acquire,VB,POS,VB,117,INFINITIVE,acquire,562,22,acquire-VB,acquire-VB
wsj_0981,4,e25,NONE,161,B-OCCURRENCE,1,acquire,acquire,acquire,VB,POS,VB,154,INFINITIVE,acquire,182,28,acquire-VB,acquire-VB
wsj_0981,7,e43,NONE,186,B-OCCURRENCE,1,acquire,acquire,acquire,VB,POS,VB,179,INFINITIVE,acquire,289,34,acquire-VB,acquire-VB
wsj_1033,0,e3,NONE,86,B-OCCURRENCE,1,acquire,acquire,acquire,VB,POS,VB,79,INFINITIVE,acquire,15,15,acquire-VB,acquire-VB
wsj_0150,7,e27,NONE,39,B-OCCURRENCE,1,acquire,acquire,acquired,VBD,POS,VB,31,PAST,acquired,147,7,acquired-VB,acquire-VB
wsj_0346,4,e16,NONE,42,B-OCCURRENCE,1,acquire,acquire,acquired,VBN,POS,VB,34,INFINITIVE,acquired,103,7,acquired-VB,acquire-VB
wsj_0570,9,e47,NONE,24,B-OCCURRENCE,1,acquire,acquire,acquired,VBD,POS,VB,16,PAST,acquired,245,3,acquired-VB,acquire-VB
wsj_0583,8,e3000,O,178,B-OCCURRENCE,1,acquire,acquire,acquired,VBN,O,VB,170,O,acquired,250,30,acquired-VB,acquire-VB
wsj_0679,2,e8,NONE,76,B-OCCURRENCE,1,acquire,acquire,acquired,VBD,POS,VB,68,PAST,acquired,71,14,acquired-VB,acquire-VB
wsj_0679,5,e27,NONE,50,B-OCCURRENCE,1,acquire,acquire,acquired,VBD,POS,VB,42,PAST,acquired,134,7,acquired-VB,acquire-VB
wsj_0679,7,e36,NONE,38,B-OCCURRENCE,1,acquire,acquire,acquired,VBD,POS,VB,30,PAST,acquired,177,5,acquired-VB,acquire-VB
wsj_0685,1,e9,NONE,39,B-OCCURRENCE,1,acquire,acquire,acquired,VBN,POS,VB,31,PASTPART,acquired,39,8,acquired-VB,acquire-VB
wsj_0906,0,e4,NONE,63,B-OCCURRENCE,1,acquire,acquire,acquired,VBN,POS,VB,55,NONE,acquired,10,10,acquired-VB,acquire-VB
wsj_0981,2,e13,NONE,39,B-OCCURRENCE,1,acquire,acquire,acquired,VBN,POS,VB,31,INFINITIVE,acquired,90,6,acquired-VB,acquire-VB
wsj_1008,0,e2,NONE,46,B-OCCURRENCE,1,acquire,acquire,acquired,VBD,POS,VB,38,PAST,acquired,7,7,acquired-VB,acquire-VB
wsj_0924,2,e10,NONE,107,B-OCCURRENCE,1,acquire,acquire,acquires,VBZ,POS,VB,99,PRESENT,acquires,44,18,acquires-VB,acquire-VB
wsj_0321,3,e23,NONE,33,B-OCCURRENCE,1,acquire,acquire,acquiring,VBG,POS,VB,24,NONE,acquiring,90,4,acquiring-VB,acquire-VB
wsj_0973,3,e22,NONE,121,B-OCCURRENCE,1,acquire,acquire,acquiring,VBG,POS,VB,112,NONE,acquiring,108,21,acquiring-VB,acquire-VB
wsj_1008,3,e13,NONE,12,B-OCCURRENCE,1,acquire,acquire,acquiring,VBG,POS,VB,3,NONE,acquiring,81,2,acquiring-VB,acquire-VB
wsj_0006,0,e8,NONE,72,B-OCCURRENCE,1,acquisition,acquisition,acquisition,NN,POS,NN,61,NONE,acquisition,9,9,acquisition-NN,acquisition-NN
wsj_0124,6,e34,NONE,106,B-OCCURRENCE,1,acquisition,acquisition,acquisition,NN,POS,NN,95,NONE,acquisition,142,14,acquisition-NN,acquisition-NN
wsj_0169,5,e19,NONE,15,B-OCCURRENCE,1,acquisition,acquisition,acquisition,NN,POS,NN,4,NONE,acquisition,137,2,acquisition-NN,acquisition-NN
wsj_0172,0,e3,NONE,61,B-OCCURRENCE,1,acquisition,acquisition,acquisition,NN,POS,NN,50,NONE,acquisition,10,10,acquisition-NN,acquisition-NN
wsj_0175,4,e16,NONE,27,B-OCCURRENCE,1,acquisition,acquisition,acquisition,NN,POS,NN,16,NONE,acquisition,102,4,acquisition-NN,acquisition-NN
wsj_0324,0,e10,NONE,50,B-OCCURRENCE,1,acquisition,acquisition,acquisition,NN,POS,NN,39,NONE,acquisition,8,8,acquisition-NN,acquisition-NN
wsj_0324,2,e11,NONE,15,B-OCCURRENCE,1,acquisition,acquisition,acquisition,NN,POS,NN,4,NONE,acquisition,40,2,acquisition-NN,acquisition-NN
wsj_0332,4,e18,NONE,83,B-OCCURRENCE,1,acquisition,acquisition,acquisition,NN,POS,NN,72,NONE,acquisition,130,14,acquisition-NN,acquisition-NN
wsj_0505,2,e15,NONE,88,B-OCCURRENCE,1,acquisition,acquisition,acquisition,NN,POS,NN,77,NONE,acquisition,64,14,acquisition-NN,acquisition-NN
wsj_0505,3,e17,NONE,34,B-OCCURRENCE,1,acquisition,acquisition,acquisition,NN,POS,NN,23,NONE,acquisition,76,5,acquisition-NN,acquisition-NN
wsj_0570,2,e21,NONE,208,B-OCCURRENCE,1,acquisition,acquisition,acquisition,NN,POS,NN,197,NONE,acquisition,94,40,acquisition-NN,acquisition-NN
wsj_0570,8,e42,NONE,77,B-OCCURRENCE,1,acquisition,acquisition,acquisition,NN,POS,NN,66,NONE,acquisition,222,13,acquisition-NN,acquisition-NN
wsj_0583,24,e125,NONE,33,B-OCCURRENCE,1,acquisition,acquisition,acquisition,NN,POS,NN,22,NONE,acquisition,678,5,acquisition-NN,acquisition-NN
wsj_0585,54,e271,NONE,178,B-OCCURRENCE,1,acquisition,acquisition,acquisition,NN,POS,NN,167,NONE,acquisition,1274,30,acquisition-NN,acquisition-NN
wsj_0585,55,e274,NONE,145,B-OCCURRENCE,1,acquisition,acquisition,acquisition,NN,POS,NN,134,NONE,acquisition,1302,24,acquisition-NN,acquisition-NN
wsj_0685,0,e3,NONE,48,B-OCCURRENCE,1,acquisition,acquisition,acquisition,NN,POS,NN,37,NONE,acquisition,9,9,acquisition-NN,acquisition-NN
wsj_0706,5,e25,NONE,132,B-OCCURRENCE,1,acquisition,acquisition,acquisition,NN,POS,NN,121,NONE,acquisition,138,23,acquisition-NN,acquisition-NN
wsj_0786,0,e2,NONE,56,B-OCCURRENCE,1,acquisition,acquisition,acquisition,NN,POS,NN,45,NONE,acquisition,9,9,acquisition-NN,acquisition-NN
wsj_0815,2,e13,NONE,54,B-OCCURRENCE,1,acquisition,acquisition,acquisition,NN,POS,NN,43,INFINITIVE,acquisition,68,10,acquisition-NN,acquisition-NN
wsj_0906,2,e12,NONE,15,B-OCCURRENCE,1,acquisition,acquisition,acquisition,NN,POS,NN,4,NONE,acquisition,68,2,acquisition-NN,acquisition-NN
wsj_1008,2,e12,NONE,121,B-OCCURRENCE,1,acquisition,acquisition,acquisition,NN,POS,NN,110,NONE,acquisition,75,23,acquisition-NN,acquisition-NN
wsj_1035,2,e9,NONE,109,B-OCCURRENCE,1,acquisition,acquisition,acquisition,NN,POS,NN,98,NONE,acquisition,79,20,acquisition-NN,acquisition-NN
wsj_0332,5,e24,NONE,158,B-OCCURRENCE,1,acquisition,acquisition,acquisitions,NNS,POS,NN,146,NONE,acquisitions,159,25,acquisitions-NN,acquisition-NN
wsj_0583,21,e116,NONE,152,B-OCCURRENCE,1,acquisition,acquisition,acquisitions,NNS,POS,NN,140,NONE,acquisitions,625,23,acquisitions-NN,acquisition-NN
wsj_0637,6,e25,NONE,121,B-OCCURRENCE,1,acquisition,acquisition,acquisitions,NNS,POS,NN,109,NONE,acquisitions,139,21,acquisitions-NN,acquisition-NN
wsj_0806,3,e16,NONE,182,B-OCCURRENCE,1,acquisition,acquisition,acquisitions,NNS,POS,NN,170,NONE,acquisitions,104,28,acquisitions-NN,acquisition-NN
CNN19980213.2130.0155,3,e26,NONE,79,B-OCCURRENCE,1,act,act,act,VB,POS,VB,76,INFINITIVE,act,89,16,act-VB,act-VB
NYT19981026.0446,10,e43,NONE,205,B-OCCURRENCE,1,Act,act,act,NNP,POS,NN,202,NONE,Act,355,36,act-NN,act-NN
NYT19990419.0515,17,e77,NONE,221,B-OCCURRENCE,1,act,act,act,NN,POS,NN,218,NONE,act,534,40,act-NN,act-NN
